HAMILTON
9 - 26:106.906, 1(Clear)
9 - 27:107.264, 1(Clear)
9 - 28:107.156, 1(Clear)
9 - 29:107.397, 1(Clear)
9 - 30:107.536, 1(Clear)
9 - 31:107.37, 1(Clear)
9 - 32:107.43, 1(Clear)
9 - 33:107.683, 1(Clear)
9 - 34:112.277, 2(Clear)
9 - 36:127.021, 0(Clear)
9 - 36:106.234, 1(Clear)
9 - 37:106.056, 1(Clear)
9 - 38:106.349, 1(Clear)
9 - 40:119.513, 1(Clear)
9 - 41:163.347, 2(Retire)
HULKENBERG
10 - 0:117.6, 1(Clear)
10 - 1:108.795, 1(Clear)
10 - 2:108.853, 1(Clear)
10 - 3:132.191, 1(Clear)
10 - 4:137.958, 1(Clear)
10 - 5:157.061, 1(Clear)
10 - 6:108.511, 1(Clear)
10 - 7:108.362, 1(Clear)
10 - 8:108.24, 1(Clear)
10 - 9:108.502, 1(Clear)
10 - 10:109.396, 1(Clear)
10 - 11:108.871, 1(Clear)
10 - 12:109.391, 1(Clear)
10 - 13:110.336, 1(Clear)
10 - 14:113.114, 2(Clear)
10 - 15:128.999, 0(Clear)
10 - 16:108.835, 1(Clear)
10 - 17:108.666, 1(Clear)
10 - 18:108.291, 1(Clear)
10 - 19:108.101, 1(Clear)
10 - 20:108.424, 1(Clear)
10 - 21:107.825, 1(Clear)
10 - 22:107.67, 1(Clear)
10 - 23:109.149, 1(Clear)
10 - 24:108.632, 1(Clear)
10 - 25:110.042, 1(Clear)
10 - 26:108.211, 1(Clear)
10 - 27:109.608, 1(Clear)
10 - 28:108.611, 1(Clear)
10 - 29:110.966, 1(Clear)
10 - 30:112.505, 2(Clear)
10 - 32:127.188, 0(Clear)
10 - 33:106.534, 1(Clear)
10 - 34:106.973, 1(Clear)
10 - 35:106.237, 1(Clear)
10 - 36:106.425, 1(Clear)
10 - 36:106.298, 1(Clear)
10 - 37:106.691, 1(Clear)
10 - 38:106.287, 1(Clear)
10 - 39:106.779, 1(Clear)
10 - 40:106.442, 1(Clear)
10 - 41:106.615, 1(Clear)
10 - 42:107.095, 1(Clear)
10 - 44:112.249, 2(Clear)
10 - 45:135.553, 0(Clear)
10 - 46:104.822, 1(Clear)
10 - 47:105.23, 1(Clear)
10 - 48:105.087, 1(Clear)
10 - 49:104.927, 1(Clear)
10 - 50:105.444, 1(Clear)
10 - 51:105.515, 1(Clear)
10 - 52:104.912, 1(Clear)
10 - 53:105.558, 1(Clear)
10 - 54:106.511, 1(Clear)
10 - 55:107.604, 1(Clear)
PEREZ
11 - 0:121.947, 1(Clear)
11 - 1:110.469, 1(Clear)
11 - 2:109.372, 1(Clear)
11 - 3:133.331, 1(Clear)
11 - 4:138.317, 1(Clear)
11 - 5:150.464, 1(Clear)
11 - 6:111.547, 1(Clear)
11 - 7:111.899, 1(Clear)
11 - 8:109.473, 1(Clear)
11 - 9:109.21, 1(Clear)
11 - 10:108.948, 1(Clear)
11 - 11:109.035, 1(Clear)
11 - 12:109.918, 1(Clear)
11 - 13:110.011, 1(Clear)
11 - 14:109.898, 1(Clear)
11 - 15:110.919, 1(Clear)
11 - 16:115.579, 2(Clear)
11 - 17:127.099, 0(Clear)
11 - 18:106.425, 1(Clear)
11 - 19:106.827, 1(Clear)
11 - 20:106.863, 1(Clear)
11 - 21:107.084, 1(Clear)
11 - 22:107.259, 1(Clear)
11 - 23:107.383, 1(Clear)
11 - 24:107.313, 1(Clear)
11 - 25:107.594, 1(Clear)
11 - 26:107.963, 1(Clear)
11 - 27:107.952, 1(Clear)
11 - 28:109.328, 1(Clear)
11 - 29:110.724, 1(Clear)
11 - 30:108.446, 1(Clear)
11 - 31:107.799, 1(Clear)
11 - 32:107.796, 1(Clear)
11 - 33:108.09, 1(Clear)
11 - 34:112.359, 2(Clear)
11 - 36:136.53, 0(Clear)
11 - 37:105.345, 1(Clear)
11 - 38:107.494, 1(Clear)
11 - 39:108.117, 1(Clear)
11 - 40:106.645, 1(Clear)
11 - 41:106.098, 1(Clear)
11 - 42:106.918, 1(Clear)
11 - 43:106.511, 1(Clear)
11 - 44:106.542, 1(Clear)
11 - 45:107.823, 1(Clear)
11 - 46:107.384, 1(Clear)
11 - 47:107.044, 1(Clear)
11 - 48:107.664, 1(Clear)
11 - 49:106.785, 1(Clear)
11 - 50:107.176, 1(Clear)
11 - 51:106.707, 1(Clear)
11 - 52:106.753, 1(Clear)
11 - 53:107.046, 1(Clear)
11 - 54:107.461, 1(Clear)
11 - 55:107.553, 1(Clear)
VERSTAPPEN
12 - 0:118.773, 1(Clear)
12 - 1:109.284, 1(Clear)
12 - 2:109.185, 1(Clear)
12 - 3:134.497, 2(Clear)
